source,target,dilation,method
6853043266,7451212153,1.0,Hierarchical Road Classifier
6853043266,5057053291,1.0,Hierarchical Road Classifier
6853043266,3859766073,1.0,Hierarchical Road Classifier
6853043266,5982522013,1.0,Hierarchical Road Classifier
6853043266,5167747875,1.1204744514949818,Hierarchical Road Classifier
6853043266,5057936965,1.0,Hierarchical Road Classifier
6853043266,5971893129,1.398277638322817,Hierarchical Road Classifier
7456872000,5058207759,1.0031951340835186,Hierarchical Road Classifier
7456872000,3700603647,1.0570807183833748,Hierarchical Road Classifier
7456872000,4043078130,1.0,Hierarchical Road Classifier
7456872000,3691467294,1.0251373257517675,Hierarchical Road Classifier
7456872000,3888465124,1.051352413125448,Hierarchical Road Classifier
7456872000,7456983071,1.8578367761769727,Hierarchical Road Classifier
7456872000,5966003308,1.0,Hierarchical Road Classifier
7456872000,5839464300,1.0,Hierarchical Road Classifier
7456872000,4043078109,1.195866543510285,Hierarchical Road Classifier
7456872000,7457140728,1.1042740575440337,Hierarchical Road Classifier
